Title,Title20,Title29,ISSN,EISSN,Category name
ACAROLOGIA,ACAROLOGIA,ACAROLOGIA,0044-586X,2107-7207,PLANT & ANIMAL SCIENCE
ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,ACCID ANAL PREVENT,0001-4575,1879-2057,"SOCIAL SCIENCES, GENERAL"
ACCOUNTABILITY IN RESEARCH-POLICIES AND QUALITY ASSURANCE,ACCOUNT RES,ACCOUNT RES,0898-9621,1545-5815,CLINICAL MEDICINE
ACCOUNTING AND BUSINESS RESEARCH,ACCOUNT BUS RES,ACCOUNT BUS RES,0001-4788,2159-4260,ECONOMICS & BUSINESS
ACCOUNTING AND FINANCE,ACCOUNT FINANC,ACCOUNT FINANC,0810-5391,1467-629X,ECONOMICS & BUSINESS
ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL,ACCOUNT AUDIT ACCOUN,ACCOUNT AUDIT ACCOUNT J,0951-3574,1758-4205,ECONOMICS & BUSINESS
ACCOUNTING FORUM,ACCOUNT FORUM,ACCOUNT FORUM,0155-9982,1467-6303,ECONOMICS & BUSINESS
ACCOUNTING HORIZONS,ACCOUNT HORIZ,ACCOUNT HORIZ,0888-7993,1558-7975,ECONOMICS & BUSINESS
ACCOUNTING ORGANIZATIONS AND SOCIETY,ACCOUNT ORG SOC,ACCOUNT ORGAN SOC,0361-3682,1873-6289,ECONOMICS & BUSINESS
ACCOUNTING REVIEW,ACCOUNT REV,ACCOUNT REV,0001-4826,1558-7967,ECONOMICS & BUSINESS
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,ACCOUNT CHEM RES,0001-4842,1520-4898,CHEMISTRY
ACCREDITATION AND QUALITY ASSURANCE,ACCREDIT QUAL ASSUR,ACCREDIT QUAL ASSUR,0949-1775,1432-0517,CHEMISTRY
ACI MATERIALS JOURNAL,ACI MATER J,ACI MATER J,0889-325X,1944-737X,MATERIALS SCIENCE
ACI STRUCTURAL JOURNAL,ACI STRUCT J,ACI STRUCT J,0889-3241,1944-7361,ENGINEERING
ACM COMPUTING SURVEYS,ACM COMPUT SURV,ACM COMPUT SURV,0360-0300,1557-7341,COMPUTER SCIENCE
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,ACM J COMPUT CULT HE,ACM J COMPUT CULT HERIT,1556-4673,1556-4711,COMPUTER SCIENCE
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,ACM J EMERG TECH COM,ACM J EMERG TECHNOL COMPUT SY,1550-4832,1550-4840,COMPUTER SCIENCE
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,ACM SIGCOMM COMP COM,ACM SIGCOMM COMP COMMUN REV,0146-4833,1943-5819,COMPUTER SCIENCE
ACM SIGPLAN NOTICES,ACM SIGPLAN NOTICES,ACM SIGPLAN NOTICES,0362-1340,1558-1160,COMPUTER SCIENCE
ACM TRANSACTIONS ON ALGORITHMS,ACM T ALGORITHMS,ACM TRANS ALGORITHMS,1549-6325,1549-6333,COMPUTER SCIENCE
ACM TRANSACTIONS ON APPLIED PERCEPTION,ACM T APPL PERCEPT,ACM TRANS APPL PERCEPT,1544-3558,1544-3965,COMPUTER SCIENCE
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,ACM T ARCHIT CODE OP,ACM TRANS ARCHIT CODE OPTIM,1544-3566,1544-3973,COMPUTER SCIENCE
ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,ACM T ASIAN LOW-RESO,ACM TRANS ASIAN LOW-RESOUR LA,2375-4699,2375-4702,COMPUTER SCIENCE
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,ACM T AUTON ADAP SYS,ACM TRANS AUTON ADAPT SYST,1556-4665,1556-4703,COMPUTER SCIENCE
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,ACM T COMPUT LOG,ACM TRANS COMPUT LOG,1529-3785,1557-945X,COMPUTER SCIENCE
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM T COMPUT SYST,ACM TRANS COMPUT SYST,0734-2071,1557-7333,COMPUTER SCIENCE
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,ACM T COMPUT-HUM INT,ACM TRANS COMPUT-HUM INTERACT,1073-0516,1557-7325,COMPUTER SCIENCE
ACM TRANSACTIONS ON COMPUTING EDUCATION,ACM T COMPUT EDUC,ACM TRANS COMPUT EDUC,1946-6226,1946-6226,COMPUTER SCIENCE
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,ACM TRANS DATABASE SYST,0362-5915,1557-4644,COMPUTER SCIENCE
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,ACM TRANSACT DES AUTOMAT EL S,1084-4309,1557-7309,COMPUTER SCIENCE
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,ACM T EMBED COMPUT S,ACM TRANS EMBED COMPUT SYST,1539-9087,1558-3465,COMPUTER SCIENCE
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,ACM TRANS GRAPHIC,0730-0301,1557-7368,COMPUTER SCIENCE
ACM TRANSACTIONS ON INFORMATION AND SYSTEM SECURITY,ACM T INFORM SYST SE,ACM TRANS INF SYST SECUR,1094-9224,1557-7406,COMPUTER SCIENCE
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,ACM TRANS INFORM SYST,1046-8188,1558-2868,COMPUTER SCIENCE
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,ACM T INTEL SYST TEC,ACM TRANS INTELL SYST TECHNOL,2157-6904,2157-6912,COMPUTER SCIENCE
ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,ACM T INTERACT INTEL,ACM TRANS INTERACT INTELL SYS,2160-6455,2160-6463,COMPUTER SCIENCE
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,ACM T INTERNET TECHN,ACM TRANS INTERNET TECHNOL,1533-5399,1557-6051,COMPUTER SCIENCE
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,ACM T KNOWL DISCOV D,ACM TRANS KNOWL DISCOV DATA,1556-4681,1556-472X,COMPUTER SCIENCE
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,ACM TRANS MATH SOFTWARE,0098-3500,1557-7295,COMPUTER SCIENCE
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,ACM T MODEL COMPUT S,ACM TRANS MODEL COMPUT SIMUL,1049-3301,1558-1195,COMPUTER SCIENCE
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,ACM T MULTIM COMPUT,ACM TRANS MULTIMED COMPUT COM,1551-6857,1551-6865,COMPUTER SCIENCE
ACM TRANSACTIONS ON PRIVACY AND SECURITY,ACM T PRIV SECUR,ACM TRANS PRIV SECUR,2471-2566,2471-2574,COMPUTER SCIENCE
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,ACM TRANS PROGRAM LANG SYST,0164-0925,1558-4593,COMPUTER SCIENCE
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,ACM T RECONFIG TECHN,ACM TRANS RECONFIGURABLE TECH,1936-7406,1936-7414,COMPUTER SCIENCE
ACM TRANSACTIONS ON SENSOR NETWORKS,ACM T SENSOR NETWORK,ACM TRANS SENS NETW,1550-4859,1550-4867,COMPUTER SCIENCE
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,ACM TRANS SOFTW ENG METHODOL,1049-331X,1557-7392,COMPUTER SCIENCE
ACM TRANSACTIONS ON STORAGE,ACM T STORAGE,ACM TRANS STORAGE,1553-3077,1553-3093,COMPUTER SCIENCE
ACM TRANSACTIONS ON THE WEB,ACM T WEB,ACM TRANS WEB,1559-1131,1559-114X,COMPUTER SCIENCE
ACOUSTICAL PHYSICS,ACOUST PHYS+,ACOUST PHYS-ENGL TR,1063-7710,1562-6865,PHYSICS
ACOUSTICS AUSTRALIA,ACOUST AUST,ACOUST AUST,0814-6039,1839-2571,PHYSICS
ACROSS LANGUAGES AND CULTURES,ACROSS LANG CULT,ACROSS LANG CULT,1585-1923,1588-2519,"SOCIAL SCIENCES, GENERAL"
ACS APPLIED ELECTRONIC MATERIALS,ACS APPL ELECTRON MA,ACS APPL ELECTRON MATER,****-****,2637-6113,MATERIALS SCIENCE
ACS APPLIED ENERGY MATERIALS,ACS APPL ENERG MATER,ACS APPL ENERG MATER,2574-0962,,MATERIALS SCIENCE
ACS APPLIED MATERIALS & INTERFACES,ACS APPL MATER INTER,ACS APPL MATER INTERFACES,1944-8244,1944-8252,MATERIALS SCIENCE
ACS APPLIED NANO MATERIALS,ACS APPL NANO MATER,ACS APPL NANO MATER,****-****,2574-0970,MATERIALS SCIENCE
ACS APPLIED POLYMER MATERIALS,ACS APPL POLYM MATER,ACS APPL POLYM MATER,2637-6105,2637-6105,MATERIALS SCIENCE
ACS BIOMATERIALS SCIENCE & ENGINEERING,ACS BIOMATER SCI ENG,ACS BIOMATER SCI ENG,2373-9878,2373-9878,MATERIALS SCIENCE
ACS CATALYSIS,ACS CATAL,ACS CATAL,2155-5435,2155-5435,CHEMISTRY
ACS CENTRAL SCIENCE,ACS CENTRAL SCI,ACS CENTRAL SCI,2374-7943,2374-7951,CHEMISTRY
ACS CHEMICAL BIOLOGY,ACS CHEM BIOL,ACS CHEM BIOL,1554-8929,1554-8937,BIOLOGY & BIOCHEMISTRY
ACS CHEMICAL NEUROSCIENCE,ACS CHEM NEUROSCI,ACS CHEM NEUROSCI,1948-7193,1948-7193,NEUROSCIENCE & BEHAVIOR
ACS COMBINATORIAL SCIENCE,ACS COMB SCI,ACS COMB SCI,2156-8952,2156-8944,CHEMISTRY
ACS EARTH AND SPACE CHEMISTRY,ACS EARTH SPACE CHEM,ACS EARTH SPACE CHEM,2472-3452,2472-3452,CHEMISTRY
ACS ENERGY LETTERS,ACS ENERGY LETT,ACS ENERGY LETT,2380-8195,2380-8195,MATERIALS SCIENCE
ACS INFECTIOUS DISEASES,ACS INFECT DIS,ACS INFECT DIS,2373-8227,,PHARMACOLOGY & TOXICOLOGY
ACS MACRO LETTERS,ACS MACRO LETT,ACS MACRO LETT,****-****,2161-1653,CHEMISTRY
ACS MATERIALS LETTERS,ACS MATER LETT,ACS MATER LETT,****-****,2639-4979,MATERIALS SCIENCE
ACS MEDICINAL CHEMISTRY LETTERS,ACS MED CHEM LETT,ACS MED CHEM LETT,1948-5875,****-****,CHEMISTRY
ACS NANO,ACS NANO,ACS NANO,1936-0851,1936-086X,MATERIALS SCIENCE
ACS OMEGA,ACS OMEGA,ACS OMEGA,2470-1343,2470-1343,CHEMISTRY
ACS PHOTONICS,ACS PHOTONICS,ACS PHOTONICS,2330-4022,****-****,PHYSICS
ACS SENSORS,ACS SENSORS,ACS SENS,2379-3694,2379-3694,CHEMISTRY
ACS SUSTAINABLE CHEMISTRY & ENGINEERING,ACS SUSTAIN CHEM ENG,ACS SUSTAIN CHEM ENG,2168-0485,2168-0485,CHEMISTRY
ACS SYNTHETIC BIOLOGY,ACS SYNTH BIOL,ACS SYNTH BIOL,2161-5063,****-****,BIOLOGY & BIOCHEMISTRY
ACSMS HEALTH & FITNESS JOURNAL,ACSMS HEALTH FIT J,ACSMS HEALTH FIT J,1091-5397,1536-593X,CLINICAL MEDICINE
ACTA ACUSTICA,ACTA ACUST,ACTA ACUST,****-****,2681-4617,PHYSICS
ACTA ACUSTICA UNITED WITH ACUSTICA,ACTA ACUST UNITED AC,ACTA ACUST UNITED ACUST,1610-1928,1861-9959,PHYSICS
ACTA ADRIATICA,ACTA ADRIAT,ACTA ADRIAT,0001-5113,1846-0453,PLANT & ANIMAL SCIENCE
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,ACTA AGR SCAND A-AN,ACTA AGR SCAND SECT A-ANIM SC,0906-4702,1651-1972,PLANT & ANIMAL SCIENCE
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,ACTA AGR SCAND B-S P,ACTA AGR SCAND SECT B-SOIL PL,0906-4710,1651-1913,AGRICULTURAL SCIENCES
ACTA ALIMENTARIA,ACTA ALIMENT HUNG,ACTA ALIMENT,0139-3006,1588-2535,AGRICULTURAL SCIENCES
ACTA AMAZONICA,ACTA AMAZON,ACTA AMAZON,0044-5967,1809-4392,ENVIRONMENT/ECOLOGY
ACTA ANAESTHESIOLOGICA SCANDINAVICA,ACTA ANAESTH SCAND,ACTA ANAESTHESIOL SCAND,0001-5172,1399-6576,CLINICAL MEDICINE
ACTA APPLICANDAE MATHEMATICAE,ACTA APPL MATH,ACTA APPL MATH,0167-8019,1572-9036,MATHEMATICS
ACTA ARITHMETICA,ACTA ARITH,ACTA ARITHMET,0065-1036,1730-6264,MATHEMATICS
ACTA ASTRONAUTICA,ACTA ASTRONAUT,ACTA ASTRONAUT,0094-5765,1879-2030,ENGINEERING
ACTA ASTRONOMICA,ACTA ASTRONOM,ACTA ASTRONOM,0001-5237,0001-5237,SPACE SCIENCE
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,ACTA BIOCHIM BIOPHYS SINICA,1672-9145,1745-7270,BIOLOGY & BIOCHEMISTRY
ACTA BIOCHIMICA POLONICA,ACTA BIOCHIM POL,ACTA BIOCHIM POL,0001-527X,1734-154X,BIOLOGY & BIOCHEMISTRY
ACTA BIOETHICA,ACTA BIOETH,ACTA BIOET,0717-5906,1726-569X,"SOCIAL SCIENCES, GENERAL"
ACTA BIOLOGICA COLOMBIANA,ACTA BIOL COLOMB,ACTA BIOL COLOMB,0120-548X,1900-1649,PLANT & ANIMAL SCIENCE
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,ACTA BIOL CRACOV BOT,ACTA BIOL CRACOV SER BOT,0001-5296,1898-0295,PLANT & ANIMAL SCIENCE
ACTA BIOLOGICA HUNGARICA,ACTA BIOL HUNG,ACTA BIOL HUNG,0236-5383,1588-256X,BIOLOGY & BIOCHEMISTRY
ACTA BIOMATERIALIA,ACTA BIOMATER,ACTA BIOMATER,1742-7061,1878-7568,MATERIALS SCIENCE
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ACTA BIOQUIM CLIN L,ACTA BIOQUIM CLIN LATINAMER,0325-2957,1851-6114,CHEMISTRY
ACTA BIOTHEORETICA,ACTA BIOTHEOR,ACTA BIOTHEOR,0001-5342,1572-8358,BIOLOGY & BIOCHEMISTRY
ACTA BOTANICA BRASILICA,ACTA BOT BRAS,ACTA BOT BRAS,0102-3306,1677-941X,PLANT & ANIMAL SCIENCE
ACTA BOTANICA CROATICA,ACTA BOT CROAT,ACTA BOT CROAT,0365-0588,1847-8476,PLANT & ANIMAL SCIENCE
ACTA BOTANICA GALLICA,ACTA BOT GALLICA,ACTA BOT GALLICA,1253-8078,2166-3408,PLANT & ANIMAL SCIENCE
ACTA BOTANICA MEXICANA,ACTA BOT MEX,ACTA BOT MEX,****-****,2448-7589,PLANT & ANIMAL SCIENCE
ACTA CARDIOLOGICA,ACTA CARDIOL,ACTA CARDIOL,0001-5385,1784-973X,CLINICAL MEDICINE
ACTA CARDIOLOGICA SINICA,ACTA CARDIOL SIN,ACTA CARDIOL SIN,1011-6842,1011-6842,CLINICAL MEDICINE
ACTA CARSOLOGICA,ACTA CARSOLOGICA,ACTA CARSOLOGICA,0583-6050,1580-2612,GEOSCIENCES
ACTA CHIMICA SINICA,ACTA CHIM SINICA,ACTA CHIM SIN,0567-7351,,CHEMISTRY
ACTA CHIMICA SLOVENICA,ACTA CHIM SLOV,ACTA CHIM SLOV,1318-0207,1580-3155,CHEMISTRY
ACTA CHIROPTEROLOGICA,ACTA CHIROPTEROL,ACTA CHIROPT,1508-1109,1733-5329,PLANT & ANIMAL SCIENCE
ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA,ACTA CHIR ORTHOP TR,ACTA CHIR ORTHOP TRAUMATOL CE,0001-5415,0001-5415,CLINICAL MEDICINE
ACTA CHIRURGICA BELGICA,ACTA CHIR BELG,ACTA CHIR BELG,0001-5458,0001-5458,CLINICAL MEDICINE
ACTA CHROMATOGRAPHICA,ACTA CHROMATOGR,ACTA CHROMATOGR,1233-2356,2083-5736,CHEMISTRY
ACTA CIRURGICA BRASILEIRA,ACTA CIR BRAS,ACTA CIR BRAS,0102-8650,1678-2674,CLINICAL MEDICINE
ACTA CLINICA BELGICA,ACTA CLIN BELG,ACTA CLIN BELG,1784-3286,2295-3337,CLINICAL MEDICINE
ACTA CLINICA CROATICA,ACTA CLIN CROAT,ACTA CLIN CROAT,0353-9466,1333-9451,CLINICAL MEDICINE
ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,ACTA CRYSTALLOGR A,ACTA CRYSTALLOGR A,2053-2733,2053-2733,CHEMISTRY
ACTA CRYSTALLOGRAPHICA SECTION A,,,,,CHEMISTRY
ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE,,,,,CHEMISTRY
ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,ACTA CRYSTALLOGR B,ACTA CRYSTALLOGR B,****-****,2052-5206,CHEMISTRY
ACTA CRYSTALLOGRAPHICA SECTION C-CRYSTAL STRUCTURE COMMUNICATIONS,,,,,CHEMISTRY
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,ACTA CRYSTALLOGR C,ACTA CRYSTALLOGR C,2053-2296,2053-2296,CHEMISTRY
ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY,,,,,MOLECULAR BIOLOGY & GENETICS
ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,ACTA CRYSTALLOGR D,ACTA CRYSTALLOGR D,2059-7983,2059-7983,MOLECULAR BIOLOGY & GENETICS
ACTA CRYSTALLOGRAPHICA SECTION E-CRYSTALLOGRAPHIC COMMUNICATIONS,ACTA CRYSTALLOGR E,ACTA CRYSTALLOGR E,2056-9890,2056-9890,CHEMISTRY
ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE,,,,,CHEMISTRY
ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY AND CRYSTALLIZATION COMMUNICATIONS,,,,,MOLECULAR BIOLOGY & GENETICS
ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS,ACTA CRYSTALLOGR F,ACTA CRYSTALLOGR F,****-****,2053-230X,MOLECULAR BIOLOGY & GENETICS
ACTA CYTOLOGICA,ACTA CYTOL,ACTA CYTOL,0001-5547,1938-2650,BIOLOGY & BIOCHEMISTRY
ACTA DERMATO-VENEREOLOGICA,ACTA DERM-VENEREOL,ACTA DERMATO-VENEREOL,0001-5555,1651-2057,CLINICAL MEDICINE
ACTA DERMATOVENEROLOGICA CROATICA,ACTA DERMATOVENER CR,ACTA DERMATOVENEROL CROAT,1330-027X,1847-6538,CLINICAL MEDICINE
ACTA DIABETOLOGICA,ACTA DIABETOL,ACTA DIABETOL,0940-5429,1432-5233,BIOLOGY & BIOCHEMISTRY
ACTA ENDOCRINOLOGICA-BUCHAREST,ACTA ENDOCRINOL-BUCH,ACTA ENDOCRINOL-BUCHAREST,1841-0987,1843-066X,CLINICAL MEDICINE
ACTA ENDOSCOPICA,ACTA ENDOSC,ACTA ENDOSC,0240-642X,1958-5454,CLINICAL MEDICINE
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,ACTA ENT MUS NAT PRA,ACTA ENTOMOL MUS NATL PRAGAE,0374-1036,1804-6487,PLANT & ANIMAL SCIENCE
ACTA ETHOLOGICA,ACTA ETHOL,ACTA ETHOL,0873-9749,1437-9546,PLANT & ANIMAL SCIENCE
ACTA GASTRO-ENTEROLOGICA BELGICA,ACTA GASTRO-ENT BELG,ACTA GASTRO-ENTEROL BELG,1784-3227,1784-3227,CLINICAL MEDICINE
ACTA GEODAETICA ET GEOPHYSICA,ACTA GEOD GEOPHYS,ACTA GEOD GEOPHYS,2213-5812,2213-5820,GEOSCIENCES
ACTA GEODAETICA ET GEOPHYSICA HUNGARICA,ACTA GEOD GEOPHYS HU,ACTA GEOD GEOPHYS HUNG,1217-8977,1587-1037,GEOSCIENCES
ACTA GEODYNAMICA ET GEOMATERIALIA,ACTA GEODYN GEOMATER,ACTA GEODYN GEOMATER,1214-9705,,GEOSCIENCES
ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK,ACTA GEOGR SLOV,ACTA GEOGR SLOV,1581-6613,1854-5106,GEOSCIENCES
ACTA GEOLOGICA POLONICA,ACTA GEOL POL,ACTA GEOL POL,0001-5709,2300-1887,GEOSCIENCES
ACTA GEOLOGICA SINICA-ENGLISH EDITION,ACTA GEOL SIN-ENGL,ACTA GEOL SIN-ENGL ED,1000-9515,1755-6724,GEOSCIENCES
ACTA GEOPHYSICA,ACTA GEOPHYS,ACTA GEOPHYS,1895-6572,1895-7455,GEOSCIENCES
ACTA GEOTECHNICA,ACTA GEOTECH,ACTA GEOTECH,1861-1125,1861-1133,GEOSCIENCES
ACTA GEOTECHNICA SLOVENICA,ACTA GEOTECH SLOV,ACTA GEOTECH SLOV,1854-0171,,ENGINEERING
ACTA HAEMATOLOGICA,ACTA HAEMATOL-BASEL,ACTA HAEMATOL,0001-5792,1421-9662,CLINICAL MEDICINE
ACTA HERPETOLOGICA,ACTA HERPETOL,ACTA HERPETOL,1827-9635,1827-9643,PLANT & ANIMAL SCIENCE
ACTA HISTOCHEMICA,ACTA HISTOCHEM,ACTA HISTOCHEM,0065-1281,1618-0372,BIOLOGY & BIOCHEMISTRY
ACTA HISTOCHEMICA ET CYTOCHEMICA,ACTA HISTOCHEM CYTOC,ACTA HISTOCHEM CYTOCHEM,0044-5991,1347-5800,BIOLOGY & BIOCHEMISTRY
ACTA HISTRIAE,ACTA HISTRIAE,ACTA HISTRIAE,1318-0185,2591-1767,"SOCIAL SCIENCES, GENERAL"
ACTA ICHTHYOLOGICA ET PISCATORIA,ACTA ICHTHYOL PISCAT,ACTA ICHTHYOL PISCAT,0137-1592,1734-1515,PLANT & ANIMAL SCIENCE
ACTA INFORMATICA,ACTA INFORM,ACTA INFORM,0001-5903,1432-0525,COMPUTER SCIENCE
ACTA LINGUISTICA ACADEMICA,ACTA LINGUIST ACAD,ACTA LINGUIST ACAD,2559-8201,2560-1016,"SOCIAL SCIENCES, GENERAL"
ACTA LINGUISTICA HUNGARICA,ACTA LINGUIST HUNGAR,ACTA LINGUIST HUNG,1216-8076,1588-2624,"SOCIAL SCIENCES, GENERAL"
ACTA MATERIALIA,ACTA MATER,ACTA MATER,1359-6454,1873-2453,MATERIALS SCIENCE
ACTA MATHEMATICA,ACTA MATH-DJURSHOLM,ACTA MATH,0001-5962,1871-2509,MATHEMATICS
ACTA MATHEMATICA HUNGARICA,ACTA MATH HUNG,ACTA MATH HUNG,0236-5294,1588-2632,MATHEMATICS
ACTA MATHEMATICA SCIENTIA,ACTA MATH SCI,ACTA MATH SCI,0252-9602,1572-9087,MATHEMATICS
ACTA MATHEMATICA SINICA-ENGLISH SERIES,ACTA MATH SIN,ACTA MATH SIN-ENGLISH SERIES,1439-8516,1439-7617,MATHEMATICS
ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES,ACTA MATH APPL SIN-E,ACTA MATH APPL SIN-ENGL SER,0168-9673,1618-3932,MATHEMATICS
ACTA MECHANICA,ACTA MECH,ACTA MECH,0001-5970,1619-6937,ENGINEERING
