MTMT,pubCount,qScore,qnScore,ifCount,ifScore,relifScore,ifNormScore,relifNormScore,citations,hIndex,firstPub,lastPub
10011985,29,18.8,22.76,22,17.37,17.2,20.31,21.16,60,4,1991,2022
10078413,2,0.7185,0.7135,1,0.637,0.3185,0.627,0.3135,1,1,2020,2022
10002331,69,31.11,23.26,24,48.26,25.07,31.07,17.22,436,12,1980,2022
10041425,4,0.5876,0.5824,1,0.661,0.3305,0.6506,0.3253,19,2,2002,2005
10068236,0,0,0,0,0,0,0,0,0,0,2100,0
10041406,45,10.51,18.13,30,15.34,7.607,27.92,15.23,138,7,1982,2021
10003450,32,4.954,7.899,13,6.504,2.77,11.57,5.716,87,5,1987,2021
10027650,5,2.005,2.674,4,4.046,1.855,5.304,2.524,9,2,2012,2022
10001247,48,20.19,26.48,20,19.73,14.92,24.65,21.22,266,7,1986,2019
10000182,25,11.54,9.454,17,25.7,10.69,21.33,8.598,66,5,2008,2022
10003616,22,4.08,6.516,10,4.056,2.913,7.548,5.349,222,6,1987,2021
10049654,3,0.7697,0.645,3,2.309,0.7697,1.935,0.645,3,1,2018,2019
10028073,0,0,0,0,0,0,0,0,0,0,2100,0
10000168,21,20.9,13.36,20,38.03,20.9,26.47,13.36,24,2,2014,2022
10078429,0,0,0,0,0,0,0,0,0,0,2100,0
10050580,0,0,0,0,0,0,0,0,0,0,2100,0
10025398,18,9.449,7.211,8,19.01,7.516,12.52,5.278,110,6,1992,2020
10041428,13,8.323,8.562,11,12.96,8.223,11.41,8.462,60,5,2004,2022
10019177,23,5.634,6.222,16,11.12,4.885,12.55,5.473,62,5,2012,2023
10042217,19,4.983,2.751,6,10.22,4.137,4.56,1.904,14,3,2010,2022
10083060,0,0,0,0,0,0,0,0,0,0,2100,0
10011896,63,8.971,6.592,14,26.28,4.903,10.03,2.523,118,7,2001,2022
10002205,29,6.183,6.128,1,1.45,1.45,1.394,1.394,553,9,1985,2020
10031107,23,4.167,2.697,5,8.556,2.9,3.742,1.43,29,3,2008,2021
10060734,3,2.576,1.63,3,7.729,2.576,4.89,1.63,0,0,2022,2022
10031961,9,3.936,4.855,4,4.763,2.836,5.406,3.755,58,3,2000,2009
10007872,17,13.69,15.59,15,13.97,12.89,15.95,14.79,21,3,2014,2022
10017841,0,0,0,0,0,0,0,0,0,0,2100,0
10012191,55,20.4,23.33,39,30.2,17.38,32.59,20.31,96,5,2000,2023
10042205,16,1.859,2.816,8,5.699,1.626,6.061,2.582,16,2,1994,2020
10032461,14,7.279,4.825,3,9.558,5.929,5.586,3.475,22,3,2000,2022
10046700,23,6.112,2.935,12,21.33,5.647,8.469,2.47,56,5,2014,2021
10009038,22,4.501,8.044,13,5.552,3.068,11.66,6.611,213,6,1987,2018
10011812,1,0.1333,0.1333,0,0,0,0,0,0,0,2019,2019
10011720,23,9.283,8.451,19,21.77,8.733,19.32,7.901,265,9,2003,2022
10048502,1,0.2632,0.1363,1,1.053,0.2632,0.5453,0.1363,0,0,2020,2020
10028363,8,5.922,3.75,4,7.42,5.415,3.917,3.243,1,1,2016,2023
10006497,79,15.37,15.7,12,8.768,6.571,9.746,6.902,92,5,1994,2022
10000799,21,15.32,14.61,20,20.29,14.92,18.49,14.21,34,3,2015,2022
10052318,20,2.8,3.042,1,0.53,0.6,0.7433,0.8415,0,0,2008,2022
10051932,44,15.27,6.855,10,49.19,13.03,15.25,4.612,162,8,2015,2022
10011727,13,0.5,0.5,0,0,0,0,0,1,1,1975,2007
10042404,35,21.56,10.94,28,48.66,21.36,24.31,10.74,830,17,2001,2023
10041699,1,0.3,0.3,0,0,0,0,0,0,0,1992,1992
10002058,60,23.12,35.85,17,7.217,9.319,13.56,22.05,239,8,1977,2022
10000486,53,17.36,27.83,23,16.51,11.53,25.74,22,158,6,1977,2019
10001060,13,6.896,5.019,11,13.49,6.546,9.43,4.669,8,2,2018,2022
10045285,12,3.239,1.862,5,8.762,3.032,4.881,1.655,41,3,2008,2021
10041426,7,1.217,1.024,2,2.15,0.7167,1.571,0.5238,25,2,2002,2011
10066588,18,5.908,3.014,4,22.43,4.675,6.442,1.781,97,6,2018,2022
10034810,0,0,0,0,0,0,0,0,0,0,2100,0
10000476,57,11.33,11.92,5,5.037,2.076,5.958,2.674,173,5,1974,2018
10012374,5,2.924,2.146,1,1.824,1.824,1.046,1.046,0,0,2014,2022
10035521,15,9.141,9.392,13,20.84,9.074,21.89,9.325,155,7,2004,2020
10084870,3,0.2846,0.1028,2,13.55,0.2346,2.985,0.05276,9,2,2022,2022
10028381,11,5.062,3.208,7,9.219,4.662,6,2.808,45,4,2007,2023
10011667,34,7.696,6.603,5,5.383,3.746,4.565,2.653,32,3,1992,2021
10065149,2,2.352,0.8681,2,7.474,2.352,2.48,0.8681,2,1,2020,2022
10009305,3,0.675,2.684,1,0.23,0.6,1,2.609,120,2,1982,1998
10003409,27,15.39,12.85,23,26.51,14.62,21.13,12.08,260,10,2005,2022
10065152,1,0.715,0.4682,1,1.43,0.715,0.9365,0.4682,0,0,2022,2022
10000407,52,13.51,12.69,23,33.74,9.935,24.64,9.113,290,9,1997,2022
10011665,9,4.04,3.771,4,4.334,3.34,4.028,3.071,0,0,2009,2022
10011721,35,12.29,15.11,25,19.05,9.257,23.01,12.07,81,5,2001,2023
10012192,5,2.2,3.892,2,0.831,1.2,2.03,2.892,20,3,2003,2011
10041399,5,1.574,2.144,2,1.147,0.841,1.765,1.41,18,3,1992,2015
10001238,49,17.15,17.38,35,35.46,15.12,35.02,15.35,411,12,2001,2022
10000434,68,15.35,15.13,6,4.175,2.84,3.348,2.622,176,7,2002,2022
10082160,7,0.3667,0.3667,0,0,0,0,0,0,0,2019,2022
10041404,2,0.2667,0.494,1,0.385,0.2,0.8226,0.4274,23,1,1999,2000
10044622,1,0.2714,0.2669,1,1.357,0.2714,1.334,0.2669,3,1,2016,2016
10010416,31,8.969,9.346,13,11.62,6.035,8.809,6.413,30,3,1977,2022
10023210,22,8.656,44.22,9,3.557,5.806,9.881,41.37,44,3,1991,2013
10027379,21,18.72,15.18,15,24.15,15.62,17.42,12.08,49,4,2005,2022
10001251,68,11.08,11.45,17,15.63,6.458,12.56,6.825,222,8,1997,2019
10000937,28,12.15,13.11,19,25.3,11.49,25.65,12.44,253,9,2000,2018
10041403,3,0.6,0.6,0,0,0,0,0,4,1,1981,1990
10070736,2,1.215,0.5044,2,3.645,1.215,1.513,0.5044,5,1,2020,2022
10011668,113,34.47,41.09,37,24.49,19.94,30.4,26.56,182,7,1993,2022
10029438,0,0,0,0,0,0,0,0,0,0,2100,0
10066279,0,0,0,0,0,0,0,0,0,0,2100,0
10058012,4,1.973,1.411,3,5.891,1.84,4.047,1.278,8,2,2016,2022
10010951,5,3.395,1.745,2,4.265,3.295,1.983,1.645,9,1,2001,2008
10070026,3,2.867,0.8361,1,5.334,2.667,1.272,0.6361,16,1,2020,2022
10019822,19,8.182,6.686,15,19.23,8.115,15.58,6.62,108,7,2002,2021
10000734,42,12.92,6.429,17,31.69,10.53,11.82,4.039,112,4,1986,2021
10042772,7,1.082,1.046,2,1.882,0.7818,1.8,0.7457,15,2,2012,2019
10058310,12,3.828,1.877,3,5.856,2.928,1.954,0.9768,6,2,2016,2022
10011734,3,0.6,0.6,0,0,0,0,0,9,1,1984,1989
10019824,19,8.545,6.72,14,14.79,7.895,11.32,6.07,179,5,2006,2022
10019824,19,8.545,6.72,14,14.79,7.895,11.32,6.07,179,5,2006,2022
10042219,25,18.97,9.138,20,43.04,18.91,19.96,9.071,44,4,2015,2023
10015273,25,16.53,10.01,24,39.86,16.4,24.28,9.878,246,9,2002,2022
10009327,9,1.167,1.15,1,0.164,0.15,0.1462,0.1337,53,4,1983,2004
